WHO_region,Disease_presentation,Age_group,Pathogen,burden_mean_value,burden_lower_value,burden_upper_value,Efficacy,Coverage,Duration,DiseasePresentation,Vaccination,Selection
Africa,LRI and thorax infections,70 to 74,Acinetobacter baumannii,3347.77191751911,1751.96119440128,5600.34783928586,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,75 to 79,Acinetobacter baumannii,3630.94870549158,2045.17999799348,5650.5277141216,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,80 to 84,Acinetobacter baumannii,3239.79904416536,1930.2188733271,4857.96898229023,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,85 to 89,Acinetobacter baumannii,2236.91456886894,1290.62717914771,3528.69580447598,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,90 to 94,Acinetobacter baumannii,1014.87657139888,558.954363971429,1677.59644481572,0.7,0.7,5,BSI,60 or above,Yes
Africa,LRI and thorax infections,95 plus,Acinetobacter baumannii,317.902689611717,162.189531476779,565.570599887983,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,EN,Acinetobacter baumannii,4.75411693929533,0.946207362013453,15.0263886196534,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,LN,Acinetobacter baumannii,3.0754201165252,0.709652289597218,9.65471151561262,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,PN,Acinetobacter baumannii,9.13506801761964,2.88362441521168,23.015986237674,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,1 to 4,Acinetobacter baumannii,8.32239543594091,2.11004344529668,23.0768888769143,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,5 to 9,Acinetobacter baumannii,2.47841793236445,0.864002957711098,5.89310972732298,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,10 to 14,Acinetobacter baumannii,1.83017965486062,0.703020560664535,4.18417631276942,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,15 to 19,Acinetobacter baumannii,4.12787717453052,1.745288754886,8.58911975117697,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,20 to 24,Acinetobacter baumannii,4.69661440501035,2.71724998664877,8.31575421144478,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,25 to 29,Acinetobacter baumannii,2.74069031336331,1.05489476826846,5.92105877080043,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,30 to 34,Acinetobacter baumannii,4.00827936571454,1.83971876606685,8.19534954527367,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,35 to 39,Acinetobacter baumannii,4.79584947764921,2.05501189141188,9.67880656235859,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,40 to 44,Acinetobacter baumannii,13.4819327584341,6.20384563972744,25.7282979463229,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,45 to 49,Acinetobacter baumannii,22.3037188756864,10.1700778588824,42.416484213257,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,50 to 54,Acinetobacter baumannii,43.8336151184591,22.5457183394803,77.1640667882198,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,55 to 59,Acinetobacter baumannii,59.9159456763466,21.7285388299108,116.785111789919,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,60 to 64,Acinetobacter baumannii,86.8742182630957,31.9302599212469,165.732385236553,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,65 to 69,Acinetobacter baumannii,105.481952375584,41.329665145071,196.813927486686,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,70 to 74,Acinetobacter baumannii,36.5329123248993,13.9641211514185,71.0548411091999,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,75 to 79,Acinetobacter baumannii,42.5120704427519,16.8417593940588,77.7362160089531,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,80 to 84,Acinetobacter baumannii,42.4219850955807,17.8721594821906,76.1487099902888,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,85 to 89,Acinetobacter baumannii,33.4768026686871,13.1167454525608,62.8879758517561,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,90 to 94,Acinetobacter baumannii,14.5476898926056,5.5879967108529,28.3603805048086,0.7,0.7,5,BSI,60 or above,Yes
Africa,UTI,95 plus,Acinetobacter baumannii,5.17976190100268,1.86855020834805,11.0312543075199,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,EN,Acinetobacter baumannii,0.173541245046276,0.00149421865865557,1.30158019141418,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,LN,Acinetobacter baumannii,0.0528988870239533,0.000256571659967574,0.365696478242811,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,PN,Acinetobacter baumannii,4.54697117962352,0.188857928091771,21.5194385481876,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,1 to 4,Acinetobacter baumannii,2.76259430163865,0.119030451690709,12.6229561973277,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,5 to 9,Acinetobacter baumannii,1.80247536379912,0.0654840541279761,11.0745992371279,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,10 to 14,Acinetobacter baumannii,2.23931339147814,0.0839930476747307,13.6789920193813,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,15 to 19,Acinetobacter baumannii,3.39843404219198,0.133432279455826,19.4798807840972,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,20 to 24,Acinetobacter baumannii,5.64273196486081,0.214694412612263,31.6514923821116,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,25 to 29,Acinetobacter baumannii,7.79275221746113,0.311066725939528,43.2886016301114,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,30 to 34,Acinetobacter baumannii,10.9445477363952,0.422021689396339,58.277420884812,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,35 to 39,Acinetobacter baumannii,15.9663448460979,0.627371961396015,82.1573107234255,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,40 to 44,Acinetobacter baumannii,22.7991591580716,0.905042756046528,117.396399184965,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,45 to 49,Acinetobacter baumannii,34.8586394992669,1.39623137807545,181.835741082764,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,50 to 54,Acinetobacter baumannii,67.9369508023793,1.91754494051321,340.423702529971,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,55 to 59,Acinetobacter baumannii,103.55679523368,3.01487212708067,519.902038870975,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,60 to 64,Acinetobacter baumannii,140.932237520867,4.09115397592983,710.265445811421,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,65 to 69,Acinetobacter baumannii,170.306995775338,5.09765517158178,861.39772509242,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,70 to 74,Acinetobacter baumannii,202.30166655012,8.37039125347084,1080.0138998321,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,75 to 79,Acinetobacter baumannii,241.052016734813,10.2650297544488,1278.61714143994,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,80 to 84,Acinetobacter baumannii,261.714237992241,11.6758290606492,1349.75458496752,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,85 to 89,Acinetobacter baumannii,246.696764616554,10.9090071336603,1284.60844952133,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,90 to 94,Acinetobacter baumannii,174.754559934176,7.56402735916293,899.552723069288,0.7,0.7,5,BSI,60 or above,Yes
Americas,Bacterial skin infections,95 plus,Acinetobacter baumannii,106.101354553488,5.6245245874433,502.313349571198,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,EN,Acinetobacter baumannii,662.969964551434,426.29577188038,970.692484949884,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,LN,Acinetobacter baumannii,432.9262794655,286.070730309524,603.263501823267,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,PN,Acinetobacter baumannii,358.78703463977,200.880120288967,576.150291973866,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,1 to 4,Acinetobacter baumannii,77.6741294665237,33.9479663315904,143.80432779437,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,5 to 9,Acinetobacter baumannii,77.6061484996603,36.2333634029962,133.010367422102,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,10 to 14,Acinetobacter baumannii,78.4006123564294,39.0691093107395,128.41522188496,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,15 to 19,Acinetobacter baumannii,127.952293657144,61.3024727473964,219.038559984217,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,20 to 24,Acinetobacter baumannii,173.473911098203,81.7103116750869,298.73865526623,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,25 to 29,Acinetobacter baumannii,206.157990622279,98.5186659246979,351.348679460743,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,30 to 34,Acinetobacter baumannii,253.386994070938,115.656506502511,454.699681426682,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,35 to 39,Acinetobacter baumannii,330.525945111489,150.751596429105,573.149865711101,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,40 to 44,Acinetobacter baumannii,439.029031580019,215.823134757791,735.463742224668,0.7,0.7,5,BSI,60 or above,Yes
Americas,BSI,45 to 49,Acinetobacter baumannii,660.075164163511,307.868705140884,1125.40877637294,0.7,0.7,5,BSI,60 or above,Yes
